id,time,iat,StartDate,ccs1,ccs2,ccs3,ccs4,ccs5,ccs6,ccs7,ccs8,ccs9,ccs10,ccs11,ccs12,nr1,nr2,nr3,nr4,nr5,nr6,nr7,nr8,nr9,nr10,nr11,nr12,nr13,nr14,nr15,nr16,nr17,nr18,nr19,nr20,nr21,nep1,nep2,nep3,nep4,nep5,nep6,nep7,nep8,nep9,nep10,nep11,nep12,nep13,nep14,nep15,SES_1,SES_2,SES_3,SES_4,SES_5,SES_6,SES_7,SES_8,SES_9,SES_10,SES_11,SES_12,SES_13,SES_14,SES_15,SES_16,SES_17,age,edu,sex,pol,ipq1,ipq2,ipq3,ipq4,ipq5,ipq6,ipq7,ipq8,ipq9,ipq10,ipq11,ipq12,ipq13,ipq14,sod_1,sod_2,sod_3,sod_4,sod_5,sod_6,sod_7,sod_8,sod_9,vr_exp,vr_eval1,vr_eval2,vr_eval3,vr_eval4,vr_eval5,span,seen,yearOfBirth,timeBtwnTestings_inH,condition,Frage1,Frage2,Frage3,OQ_Design+,OQ_Design-,OQ_alreadyAware,OQ_personalConsequences,OQ_Realism,OQ_Abstractness,OQ_positiveExperience,OQ_personaMemoriesl,OQ_generalConsequences,OQ_fidelity+,OQ_fidelity-,hr_mean,Leiter,Anmerkungen,Zeit,nep,nr,ccs,ipq,sod,ses
16916096,2,0.10961406553629915,NA,1,1,1,1,1,1,2,1,1,2,1,2,4,4,4,4,4,5,4,4,4,4,4,4,4,4,2,4,4,5,4,4,3,5,2,4,2,4,2,2,5,5,5,4,4,4,5,4,2,1,1,1,2,1,1,2,2,1,1,2,2,2,1,2,2,21,4,W,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,6,NA,4,3,1,NA,NA,text,"einfach geschrieben (evtl. für Kinder oder jemanden, der nicht so gut Bescheid weiss)",-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anna.roesli,-,2 min 13 sek,3.8,3.9523809523809526,1.25,NA,NA,1.5294117647058822
40423892,1,0.10589964104649888,NA,1,2,1,2,1,1,5,4,1,3,2,1,5,5,5,4,4,5,2,4,4,5,4,5,5,5,4,4,5,4,4,3,3,4,5,4,3,5,1,4,4,5,5,1,5,1,4,4,2,1,1,1,1,2,2,1,1,1,2,2,1,2,2,2,2,25,4,W,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,6,3,2,NA,NA,text,konkrete Details zum Aletschgletscher waren neu,-,möchte sich über Klimawandel in anderen Disziplinen (z.B. aus Sicht der Astrophysik) noch genauer informieren,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anna.roesli,-,2 min 48 sek,3.6666666666666665,4.238095238095238,2,NA,NA,1.5294117647058822
40423892,2,0.05920235814214458,NA,2,2,1,2,2,1,2,1,1,2,2,1,5,5,5,4,4,5,4,4,4,5,4,4,5,4,4,4,4,5,4,2,3,4,5,4,3,5,2,4,4,5,4,2,5,3,2,4,2,1,1,2,1,2,2,1,1,1,2,1,1,2,2,2,2,25,4,W,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,6,3,2,NA,NA,text,konkrete Details zum Aletschgletscher waren neu,-,möchte sich über Klimawandel in anderen Disziplinen (z.B. aus Sicht der Astrophysik) noch genauer informieren,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anna.roesli,-,2 min 48 sek,3.7333333333333334,4.190476190476191,1.5833333333333333,NA,NA,1.5294117647058822
24037384,1,0.5530198394514994,NA,2,1,1,1,2,1,1,1,1,1,1,1,4,3,2,4,4,4,1,4,4,4,4,4,4,4,3,4,3,4,4,4,2,3,2,2,2,4,4,3,4,5,4,4,4,4,4,4,2,1,1,1,1,2,2,1,2,1,1,1,2,2,2,1,2,24,4,M,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,5,4,2,NA,NA,text,-,"bezüglich eines Items (egal, was ich tue, es wird nicht das Geschehen an anderen Orten verändern): wurde darauf aufmerksam, dass das wirklich keine ""kluge"" Einstellung ist und möchte dies verändern",-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anna.roesli,-,2 min 43 sek,3.533333333333333,3.5238095238095237,1.1666666666666667,NA,NA,1.4705882352941178
24037384,2,0.42710043686405647,NA,2,1,1,1,2,1,3,2,1,1,2,1,4,2,2,3,4,4,1,4,4,4,5,4,4,4,3,4,3,4,5,2,2,4,2,4,2,5,2,4,4,5,5,2,5,4,2,5,2,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,24,4,M,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,5,4,2,NA,NA,text,-,"bezüglich eines Items (egal, was ich tue, es wird nicht das Geschehen an anderen Orten verändern): wurde darauf aufmerksam, dass das wirklich keine ""kluge"" Einstellung ist und möchte dies verändern",-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anna.roesli,-,2 min 43 sek,3.6666666666666665,3.4285714285714284,1.5,NA,NA,1.2352941176470589
50713676,1,0.14890680557551966,NA,1,1,1,1,1,1,1,1,1,3,3,1,4,2,5,1,4,2,2,3,3,2,3,3,5,4,2,3,1,5,4,2,1,4,2,4,5,5,5,3,5,3,5,1,5,4,5,5,2,2,1,1,2,1,1,2,2,1,1,2,2,1,2,2,1,25,4,M,3,2,2,4,5,1,1,6,2,3,2,4,2,2,1,2,7,2,7,6,6,5,7,7,NA,5,3,5,4,5,5,2,NA,NA,video,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anna.roesli,-,-,4.066666666666666,2.9047619047619047,1.3333333333333333,2.642857142857143,5.444444444444445,1.5294117647058822
50713676,2,0.04724575636027796,NA,1,1,1,1,1,1,2,1,1,3,1,2,4,2,4,2,3,2,1,3,2,2,2,2,4,4,2,4,4,5,5,3,2,2,4,5,5,5,5,5,5,2,5,2,5,2,3,5,2,2,1,1,1,1,1,2,1,2,1,2,2,2,1,2,1,25,4,M,3,2,2,4,5,1,1,6,2,3,2,4,2,2,1,2,7,2,7,6,6,5,7,7,NA,5,3,5,4,5,5,2,NA,NA,video,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anna.roesli,-,-,4,2.9523809523809526,1.3333333333333333,2.642857142857143,5.444444444444445,1.4705882352941178
58342088,1,-0.6033349766735514,NA,1,1,1,1,1,1,2,2,1,2,1,1,5,5,2,4,4,4,1,5,2,5,4,4,5,4,3,4,2,5,4,4,1,3,2,4,4,1,2,1,5,4,4,4,4,5,4,4,1,1,1,1,2,2,2,1,1,1,1,2,1,1,2,1,2,24,4,M,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,7,6,5,4,2,NA,NA,text.bild,"Text war einfach geschrieben, hat vermutet dass allenfalls für Kinder",-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anna.roesli,-,2 min 30 sek,3.4,3.6666666666666665,1.25,NA,NA,1.3529411764705883
58342088,2,-0.6229967456413785,NA,2,1,1,1,1,1,2,1,1,2,1,1,4,3,2,4,4,4,1,5,4,4,3,4,4,4,2,4,3,5,4,4,2,4,1,3,3,4,2,2,5,5,5,4,3,4,5,4,2,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,2,24,4,M,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,7,6,5,4,2,NA,NA,text.bild,"Text war einfach geschrieben, hat vermutet dass allenfalls für Kinder",-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anna.roesli,-,2 min 30 sek,3.6,3.5238095238095237,1.25,NA,NA,1.3529411764705883
04275900,1,0.3258842017490595,NA,2,1,1,1,1,1,1,1,1,2,1,1,5,5,5,4,4,5,3,5,5,5,4,5,5,5,5,5,4,5,4,5,4,5,3,4,2,5,3,5,4,5,5,4,5,4,4,4,2,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,19,4,W,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,6,6,6,4,2,NA,NA,text.bild,"fantasievoll, evtl. auch für Kinder geeignet",-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anna.roesli,ist interessiert an Resultaten,2 min 18 sek,4.133333333333334,4.619047619047619,1.1666666666666667,NA,NA,1.3529411764705883
04275900,2,0.8852089731371591,NA,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,4,4,5,3,5,5,4,4,4,5,5,5,4,5,4,4,5,4,5,4,4,2,5,4,5,4,5,3,4,5,4,4,4,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,19,4,W,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,6,6,6,4,2,NA,NA,text.bild,"fantasievoll, evtl. auch für Kinder geeignet",-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anna.roesli,ist interessiert an Resultaten,2 min 18 sek,4.133333333333334,4.428571428571429,1,NA,NA,1.2352941176470589
15086316,1,0.9198404032522104,NA,1,1,1,1,2,1,1,1,1,4,2,4,4,5,5,2,2,2,4,4,4,5,2,4,4,4,2,2,4,5,4,3,2,5,3,4,2,4,2,2,5,4,4,2,2,4,2,4,2,1,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,23,4,W,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,7,3,3,NA,NA,text.bild,"beeindruckend, da ich Alteschgletscher auch schon gesehen habe, krass wie schnell die Gletscherschmelze geht, bleibt nicht mehr viel Zeit","habe schon wieder Papp-Becher für Kaffee dabei (eigener vergessen), probiere weniger mit dem Auto zu fahren und mehr ÖV zu nehmen, und probiere allg. bewusster zu leben","direkt ändern ist schwierig, aber denkt oft man ist ja bloss eine Person und dass es etwas bewirkt, müssten viele Handeln
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alina.schaerer,NA,3 min 23 sec,3.2666666666666666,3.4761904761904763,1.6666666666666667,NA,NA,1.588235294117647
15086316,2,0.8265022724020493,NA,2,1,1,1,1,1,1,1,1,1,1,2,4,5,5,4,4,3,4,4,4,5,2,5,5,4,2,4,4,5,4,4,2,2,2,4,2,5,2,4,5,5,5,2,4,2,4,5,2,2,1,2,1,2,2,2,1,2,1,2,1,2,2,2,1,23,4,W,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,7,3,3,NA,NA,text.bild,"beeindruckend, da ich Alteschgletscher auch schon gesehen habe, krass wie schnell die Gletscherschmelze geht, bleibt nicht mehr viel Zeit","habe schon wieder Papp-Becher für Kaffee dabei (eigener vergessen), probiere weniger mit dem Auto zu fahren und mehr ÖV zu nehmen, und probiere allg. bewusster zu leben","direkt ändern ist schwierig, aber denkt oft man ist ja bloss eine Person und dass es etwas bewirkt, müssten viele Handeln
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alina.schaerer,NA,3 min 23 sec,3.533333333333333,3.9523809523809526,1.1666666666666667,NA,NA,1.6470588235294117
85587028,1,0.06168885552880936,NA,4,3,3,3,4,4,3,2,2,1,3,4,4,4,1,1,4,4,3,2,3,2,3,3,5,2,2,1,3,4,3,4,4,5,1,2,1,2,2,2,2,4,3,4,2,4,1,2,1,2,2,1,1,2,2,1,1,2,1,2,1,1,1,2,2,21,4,M,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,NA,6,4,2,NA,NA,text,erstaunlich was ein geringer Temperaturanstieg bewirken kann,"Nein, aber war gut mitzumachen
","Nein, bilde meine Einstellung selbst und dafür muss ich nicht an Studie/Experiment mitmachen, sondern selbst durchs Leben gehen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alina.schaerer,NA,2 min 18 sec,2.466666666666667,2.9523809523809526,3,NA,NA,1.4705882352941178
85587028,2,-0.1601338477317767,NA,4,3,1,2,4,1,2,3,2,3,2,5,4,3,1,2,2,1,1,3,2,4,2,1,4,2,2,1,1,4,4,4,1,5,1,2,2,2,2,2,2,4,2,4,1,5,2,3,1,1,2,1,1,2,2,1,1,1,1,2,1,2,2,2,2,21,4,M,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,NA,6,4,2,NA,NA,text,erstaunlich was ein geringer Temperaturanstieg bewirken kann,"Nein, aber war gut mitzumachen
","Nein, bilde meine Einstellung selbst und dafür muss ich nicht an Studie/Experiment mitmachen, sondern selbst durchs Leben gehen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alina.schaerer,NA,2 min 18 sec,2.6,2.3333333333333335,2.6666666666666665,NA,NA,1.4705882352941178
