StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ccs1,ccs2,ccs3,ccs4,ccs5,ccs6,ccs7,ccs8,ccs9,ccs10,ccs11,ccs12,nr1,nr2,nr3,nr4,nr5,nr6,nr7,nr8,nr9,nr10,nr11,nr12,nr13,nr14,nr15,nr16,nr17,nr18,nr19,nr20,nr21,nep1,nep2,nep3,nep4,nep5,nep6,nep7,nep8,nep9,nep10,nep11,nep12,nep13,nep14,nep15,SES_1,SES_2,SES_3,SES_4,SES_5,SES_6,SES_7,SES_8,SES_9,SES_10,SES_11,SES_12,SES_13,SES_14,SES_15,SES_16,SES_17,id
2019-11-13 10:16:28,2019-11-13 10:28:53,0,213.55.221.50,100,744,1,2019-11-13 10:28:53,R_3e4sGfwIUUlPkiW,,,,,46.5189056396484375,6.6360015869140625,anonymous,DE,4,2,2,2,2,4,2,1,2,4,1,3,4,2,3,3,4,1,2,3,4,1,1,4,2,2,3,5,3,1,2,1,2,2,4,3,2,4,5,5,2,5,2,2,1,4,1,3,2,2,1,1,1,2,2,1,1,1,1,2,1,2,1,2,2,ARDR97
2019-11-13 11:16:11,2019-11-13 11:25:06,0,192.41.158.1,100,535,1,2019-11-13 11:25:07,R_qUyMvjexmtQ7dEl,,,,,46.9167022705078125,7.466705322265625,anonymous,DE,1,1,1,1,1,1,2,2,1,2,1,1,5,1,4,4,4,4,1,5,2,1,2,4,1,2,3,4,2,1,4,4,1,3,4,4,2,1,4,1,1,4,2,4,2,5,2,4,1,1,1,1,2,2,2,1,1,1,1,2,1,1,2,1,2,ARSF95
2019-11-13 12:52:48,2019-11-13 13:07:27,0,130.92.255.36,100,878,1,2019-11-13 13:07:27,R_22mhxQjPsMuiAQX,,,,,46.9167022705078125,7.466705322265625,anonymous,DE,2,1,1,1,1,1,1,1,1,2,1,1,5,1,1,4,4,5,3,5,5,1,2,5,1,1,1,5,4,1,4,5,4,5,3,4,4,5,3,5,2,5,1,4,1,4,2,4,2,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,ARSW00
2019-11-13 17:13:03,2019-11-13 17:20:20,0,147.88.241.6,100,437,1,2019-11-13 17:20:21,R_1py6CnLovEI6roH,,,,,47.050506591796875,8.306396484375,anonymous,DE,2,1,1,1,2,1,2,1,1,2,1,1,3,1,2,2,4,4,3,4,4,3,1,4,3,1,1,4,3,1,4,4,4,2,2,4,4,5,5,5,2,4,1,1,1,5,2,5,2,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,AREF98
2019-11-13 19:31:53,2019-11-13 19:38:49,0,176.127.183.116,100,415,1,2019-11-13 19:38:50,R_1IQ8QxSS2eIByQu,,,,,46.94580078125,7.4481048583984375,anonymous,DE,2,1,1,1,2,1,2,2,1,1,1,1,3,1,2,2,4,3,2,3,3,3,1,4,3,3,2,4,3,2,4,3,3,4,3,3,3,4,3,4,3,5,1,4,2,4,3,4,2,2,2,1,2,1,2,2,2,1,1,1,2,2,1,2,1,ARAS94
2019-11-13 18:22:54,2019-11-13 20:27:41,0,188.62.106.46,100,7487,1,2019-11-13 20:27:42,R_24w4JvOvHxppcP3,,,,,46.94580078125,7.4481048583984375,anonymous,DE,1,1,1,1,1,1,1,1,1,2,1,1,5,1,1,4,4,4,1,4,3,2,1,4,4,3,4,4,3,2,4,3,3,3,1,4,3,5,5,5,4,4,1,5,1,4,1,4,2,2,2,2,1,1,2,1,2,1,1,1,2,2,1,1,2,ARHL00
2019-11-14 07:55:28,2019-11-14 08:06:40,0,178.197.224.111,100,672,1,2019-11-14 08:06:41,R_u81l7UiKIcLpzd7,,,,,47.36639404296875,8.554595947265625,anonymous,DE,1,1,1,1,1,1,2,1,1,2,1,1,4,2,2,4,5,5,5,5,4,2,3,5,1,2,4,2,4,1,4,4,5,4,4,5,3,5,4,4,2,5,1,2,2,5,2,5,2,1,2,1,1,2,2,1,2,1,2,1,2,1,2,1,2,ARAR98
2019-11-14 09:07:32,2019-11-14 09:16:27,0,51.154.172.47,100,535,1,2019-11-14 09:16:27,R_264OPrkiDqaxSLH,,,,,46.2216949462890625,6.10809326171875,anonymous,DE,2,1,1,1,2,1,1,1,1,1,1,1,4,3,4,4,4,4,1,4,4,2,2,4,2,2,3,4,3,2,4,4,2,3,4,2,4,4,2,3,2,5,2,4,2,4,2,4,2,1,1,1,1,2,2,1,2,1,1,1,2,2,2,1,2,ARLW95
2019-11-13 19:55:17,2019-11-13 19:55:33,0,62.202.191.5,2,15,0,2019-11-14 19:55:59,R_2E9TFObRC6Fq6Rb,,,,,,,anonymous,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARAR65
2019-11-15 08:40:12,2019-11-15 08:54:16,0,178.196.120.60,100,843,1,2019-11-15 08:54:16,R_3J2wcXZCqnp5VMH,,,,,46.94580078125,7.4481048583984375,anonymous,DE,1,1,5,1,1,1,1,1,1,2,1,1,5,1,2,4,4,4,2,5,4,1,1,5,4,2,2,5,5,1,4,3,4,4,4,5,4,5,3,5,1,5,1,2,1,5,2,5,2,2,1,2,2,2,2,2,2,1,2,2,1,1,2,2,2,ARDS53
2019-11-15 19:27:04,2019-11-15 19:45:55,0,62.202.191.5,100,1131,1,2019-11-15 19:45:56,R_1HpeyOgzGsku4H1,,,,,46.9541015625,7.5482940673828125,anonymous,DE,4,1,1,1,1,1,2,1,1,3,1,1,2,1,1,2,2,2,2,4,4,4,1,4,5,4,4,3,2,1,4,2,4,5,4,4,2,5,2,5,4,5,1,4,2,3,2,4,2,1,1,2,2,2,2,2,2,1,1,2,1,1,2,2,2,ARDR64
2019-11-15 19:29:27,2019-11-15 19:46:25,0,62.202.191.5,100,1017,1,2019-11-15 19:46:25,R_AEW4iDLaaKsRAFb,,,,,47.3717041015625,8.0796966552734375,anonymous,DE,1,1,2,1,1,1,1,1,1,1,1,1,4,1,2,1,4,4,1,4,3,2,2,2,1,2,3,4,2,1,5,3,2,5,4,5,2,5,2,2,1,4,1,1,1,5,1,4,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,ARAR65
2019-11-16 22:54:39,2019-11-16 23:09:56,0,85.5.4.55,100,916,1,2019-11-16 23:09:57,R_3CV21Hbt8VpB1D5,,,,,46.94580078125,7.4481048583984375,anonymous,DE,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,4,4,5,4,4,4,2,2,5,2,2,1,5,4,1,4,2,2,4,3,3,4,4,4,3,1,5,1,2,1,5,1,2,2,1,1,1,2,1,1,1,2,1,1,2,2,2,1,2,2,ARJA99
2019-11-16 07:16:09,2019-11-16 07:19:41,0,178.196.120.60,2,211,0,2019-11-17 07:19:55,R_3LYAsQnbLGS72qy,,,,,,,anonymous,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARDS53
2019-11-17 12:06:56,2019-11-17 12:17:59,0,84.73.101.43,100,662,1,2019-11-17 12:17:59,R_2V8zDJXL9J4MGyk,,,,,47.57879638671875,7.6468048095703125,anonymous,DE,2,2,2,2,2,3,4,1,2,2,4,2,4,1,1,4,2,4,2,4,4,1,4,4,1,1,1,5,3,1,4,3,2,3,2,4,4,4,4,4,2,4,2,3,1,4,2,4,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,2,1,ASMS67
2019-11-17 13:40:11,2019-11-17 13:54:20,0,46.126.152.89,100,849,1,2019-11-17 13:54:20,R_2DUBj3MuUdcwRa4,,,,,47.2595062255859375,7.9468994140625,anonymous,DE,1,1,5,1,1,1,1,5,1,4,2,1,4,1,1,4,4,5,3,4,4,1,4,5,2,1,4,4,5,1,4,3,4,4,4,3,5,5,5,4,5,4,1,2,1,5,2,5,2,2,1,1,2,1,2,2,2,2,1,1,2,2,1,2,2,ASLI98
2019-11-17 13:39:01,2019-11-17 14:40:41,0,178.197.235.102,100,3700,1,2019-11-17 14:40:42,R_26fkmj7bIhFiuqv,,,,,46.94580078125,7.4481048583984375,anonymous,DE,1,1,1,1,1,1,1,1,1,4,1,1,5,1,4,1,4,4,4,5,5,1,2,5,5,4,1,5,4,1,4,4,4,5,4,5,5,5,4,5,1,4,1,3,1,5,4,5,2,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,ASHK62
2019-11-17 13:07:07,2019-11-17 14:55:08,0,213.55.225.203,100,6481,1,2019-11-17 14:55:08,R_agetjucR9ueFhiF,,,,,47.36639404296875,8.554595947265625,anonymous,DE,4,1,1,1,2,1,1,1,1,2,1,1,4,1,3,4,2,4,5,5,4,2,2,5,1,4,1,4,4,1,5,4,4,3,4,5,3,5,1,5,3,5,1,4,1,4,4,4,2,1,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,ASLK98
2019-11-17 15:17:05,2019-11-17 15:37:43,0,46.126.155.120,100,1237,1,2019-11-17 15:37:43,R_3gSOA5x1ALBzKSj,,,,,47.2877960205078125,7.9459075927734375,anonymous,DE,4,1,1,1,1,1,2,1,1,4,4,1,4,1,1,2,5,2,1,5,5,1,2,4,4,1,2,2,4,1,5,5,3,5,2,5,1,5,4,5,1,5,1,4,1,5,2,5,2,1,2,1,2,2,2,2,2,1,1,1,2,2,1,2,1,ASFG97
2019-11-17 16:18:47,2019-11-17 16:24:27,0,178.197.227.128,100,339,1,2019-11-17 16:24:28,R_1j7KcAm3LhtiECw,,,,,47.3401947021484375,8.5740966796875,anonymous,DE,4,3,3,3,4,4,3,2,2,1,3,4,4,2,5,1,4,4,3,2,3,4,3,3,1,4,4,1,3,2,3,4,4,5,5,2,5,2,4,2,4,4,3,4,4,4,5,2,1,2,2,1,1,2,2,1,1,2,1,2,1,1,1,2,2,ASDB98
2019-11-17 17:04:54,2019-11-17 17:13:49,0,194.230.147.92,100,534,1,2019-11-17 17:13:49,R_Wf9rHh6ZVYKeTwl,,,,,47.5583953857421875,7.57330322265625,anonymous,DE,4,2,2,1,4,1,2,1,1,1,2,1,2,4,4,2,4,4,2,4,4,3,1,3,2,4,3,4,3,2,4,4,4,3,3,4,4,4,4,4,2,4,2,2,1,3,4,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,ASLH01
2019-11-17 18:54:47,2019-11-17 19:01:47,0,62.202.189.208,100,419,1,2019-11-17 19:01:47,R_1fl3fDBVogB2Uol,,,,,47.36639404296875,8.554595947265625,anonymous,DE,4,2,1,1,2,1,3,1,2,5,1,2,2,1,1,3,5,4,3,5,4,2,1,3,1,1,1,1,5,1,5,1,1,5,1,5,1,5,1,5,1,5,1,5,1,2,2,3,2,1,1,1,1,2,2,1,1,1,2,1,2,1,1,1,2,ASSA97
2019-11-17 20:39:08,2019-11-17 20:45:47,0,31.165.20.179,100,399,1,2019-11-17 20:45:47,R_3kGktxtAeo6Lx1p,,,,,46.94580078125,7.4481048583984375,anonymous,DE,1,1,2,1,1,1,1,1,1,2,1,1,5,1,1,4,5,5,5,5,4,1,1,5,3,1,1,5,5,1,4,5,5,5,1,5,3,5,4,5,1,5,1,4,1,4,1,5,2,1,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,ASJK92
2019-11-17 21:01:16,2019-11-17 21:15:52,0,31.165.10.118,100,876,1,2019-11-17 21:15:53,R_9AGrA41U2NStdXb,,,,,46.94580078125,7.4481048583984375,anonymous,DE,1,1,1,1,1,1,1,1,1,1,1,1,5,1,4,4,4,5,4,5,4,2,1,5,2,1,1,4,4,1,4,5,4,4,2,5,2,5,5,5,2,5,1,3,1,5,2,5,2,1,1,1,2,1,2,1,1,1,1,2,2,2,1,2,2,FSJS96
2019-11-17 21:14:05,2019-11-17 21:26:36,0,178.197.225.90,100,751,1,2019-11-17 21:26:37,R_3KDPjdoyEzwYbiR,,,,,47.36639404296875,8.554595947265625,anonymous,DE,3,2,1,3,4,1,2,2,3,2,2,3,5,3,1,5,4,4,5,5,5,1,1,5,1,2,3,4,5,2,4,4,5,3,4,2,4,5,5,5,1,5,4,1,3,4,4,2,2,1,1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,ASSS97
2019-11-18 09:12:54,2019-11-18 09:21:42,0,130.92.255.36,100,527,1,2019-11-18 09:21:42,R_11Z0sXdub0k4YaV,,,,,46.9167022705078125,7.466705322265625,anonymous,DE,2,1,2,1,1,1,1,1,1,4,3,2,4,1,2,2,4,2,2,2,4,2,4,3,2,4,4,2,2,1,4,4,1,4,2,3,2,4,4,4,1,4,2,4,2,4,1,4,2,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,ASSS99
2019-11-18 10:11:27,2019-11-18 10:21:53,0,130.92.255.35,100,625,1,2019-11-18 10:21:53,R_1H6KulhJ22q1RKc,,,,,46.9167022705078125,7.466705322265625,anonymous,DE,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,5,4,2,5,3,4,4,1,1,4,4,3,1,5,2,2,1,1,5,1,5,5,5,1,4,1,4,1,5,1,5,2,1,1,2,2,2,1,2,1,2,1,2,1,2,1,2,1,FSHM98
2019-11-18 10:16:21,2019-11-18 10:49:25,0,178.238.165.33,100,1983,1,2019-11-18 10:49:25,R_6WpEaigr9r6QlsB,,,,,47.0511016845703125,8.30560302734375,anonymous,DE,1,2,1,1,1,1,1,1,1,1,2,2,4,1,2,3,4,4,4,4,5,1,2,5,3,1,2,4,5,1,4,4,4,4,4,4,3,4,4,4,2,4,2,4,1,5,4,5,2,1,1,2,1,1,2,1,1,1,2,1,1,2,1,2,2,ARGZ94
2019-11-18 12:35:24,2019-11-18 12:42:56,0,178.197.234.233,100,452,1,2019-11-18 12:42:56,R_2SltXODR2xiLn78,,,,,46.752197265625,7.63360595703125,anonymous,DE,3,2,1,1,2,1,1,1,1,1,2,3,4,2,2,3,4,3,5,4,5,2,3,4,1,2,4,4,5,1,4,4,4,5,4,4,4,4,4,2,1,4,1,1,4,2,2,4,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,ASDG98
2019-11-19 10:31:01,2019-11-19 10:50:09,0,130.92.255.36,100,1147,1,2019-11-19 10:50:09,R_3n2fpsrfdEwfHlF,,,,,46.9167022705078125,7.466705322265625,anonymous,DE,1,1,1,1,2,1,1,1,1,4,2,4,4,1,1,2,2,2,4,4,4,1,4,4,2,2,4,2,4,1,4,3,2,5,3,4,4,4,4,2,1,4,2,2,4,4,4,4,2,1,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,ASCH96
